15:57:06: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 45] Logger initialized
15:57:06: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
15:57:07: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
15:57:10: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
15:57:10: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
15:57:11: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
15:57:11: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
15:57:12: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
15:57:12: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
15:57:13: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
15:57:13: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
15:57:14: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
15:57:14: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
15:57:15: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
15:57:15: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
15:57:16: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
15:57:16: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
15:57:17: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
15:57:17: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
15:57:18: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
15:57:18: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
15:57:19: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
15:57:19: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
15:57:20: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
15:57:20: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
15:57:21: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
15:57:21: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
15:57:25: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 83] Passed!
